structure,operation,trial,time_ms,checksum
array,random_access,1,0.49,100056323894
array,random_access,2,0.46,100056323894
array,random_access,3,0.41,100056323894
array,random_access,4,0.41,100056323894
array,random_access,5,0.41,100056323894
arraylist,random_access,1,3.77,100056323894
arraylist,random_access,2,2.76,100056323894
arraylist,random_access,3,2.73,100056323894
arraylist,random_access,4,2.31,100056323894
arraylist,random_access,5,1.73,100056323894
array,append,1,0.42,19999900000
array,append,2,0.53,19999900000
array,append,3,0.53,19999900000
array,append,4,0.51,19999900000
array,append,5,0.52,19999900000
arraylist,append,1,4.98,19999900000
arraylist,append,2,4.10,19999900000
arraylist,append,3,1.93,19999900000
arraylist,append,4,1.91,19999900000
arraylist,append,5,2.03,19999900000
array,insert_front,1,672.65,19999
array,insert_front,2,470.38,19999
array,insert_front,3,394.33,19999
array,insert_front,4,414.63,19999
array,insert_front,5,323.80,19999
arraylist,insert_front,1,362.79,19999
arraylist,insert_front,2,352.53,19999
arraylist,insert_front,3,352.81,19999
arraylist,insert_front,4,353.62,19999
arraylist,insert_front,5,352.81,19999
array,remove_front,1,294.40,925023
array,remove_front,2,294.66,925023
array,remove_front,3,293.91,925023
array,remove_front,4,292.98,925023
array,remove_front,5,295.26,925023
arraylist,remove_front,1,331.28,925023
arraylist,remove_front,2,321.76,925023
arraylist,remove_front,3,326.11,925023
arraylist,remove_front,4,322.28,925023
arraylist,remove_front,5,323.94,925023
